"Year","Route","Latitude","Longitude","Richness","Abundance"
1966,2,30.3755433,-86.2758321,41,491
1966,3,30.5193157,-86.4809129,40,292
1966,4,30.5288404,-85.1334541,51,491
1966,6,30.5950194,-84.0413094,52,851
1966,10,30.2734632,-83.8569684,56,458
1966,11,29.6686989,-83.3782062,43,360
1966,12,30.5026237,-82.7337409,45,344
1966,13,29.5468457,-82.2630299,57,599
1966,14,29.1916199,-82.394802,52,485
1966,16,28.0363157,-82.5050049,46,1452
1966,17,27.4438745,-82.1186659,54,1164
1966,19,30.7202649,-81.9062085,48,482
1966,21,29.8970697,-81.8343049,45,524
1966,23,28.5723877,-81.9816829,37,792
1966,24,27.3232866,-81.4189503,38,679
1966,26,26.2943143,-81.448561,44,1214
1966,28,25.7510497,-80.9676799,35,614
1966,31,26.9657323,-80.3854635,38,560
1966,33,26.0628347,-80.4312659,42,925
1966,35,25.6579667,-80.7663639,38,716
1966,36,25.0015697,-80.5364609,36,726
1966,37,30.2531989,-82.1623546,22,195
1967,1,30.9291812,-87.4079434,54,560
1967,2,30.3755433,-86.2758321,35,377
1967,3,30.5193157,-86.4809129,40,399
1967,4,30.5288404,-85.1334541,50,554
1967,5,30.3372497,-85.2869789,45,501
1967,6,30.5950194,-84.0413094,58,840
1967,7,30.3898527,-85.9004499,52,585
1967,9,29.7818335,-85.3003555,38,373
1967,10,30.2734632,-83.8569684,47,521
1967,11,29.6686989,-83.3782062,52,1066
1967,12,30.5026237,-82.7337409,57,592
1967,13,29.5468457,-82.2630299,59,565
1967,14,29.1916199,-82.394802,55,494
1967,17,27.4438745,-82.1186659,40,599
1967,18,29.8899427,-81.3438119,53,559
1967,19,30.7202649,-81.9062085,51,766
1967,20,28.3266818,-82.3022052,50,993
1967,21,29.8970697,-81.8343049,44,413
1967,22,28.1788407,-81.8605659,53,889
1967,23,28.5723877,-81.9816829,55,1576
1967,24,27.3232866,-81.4189503,48,784
1967,26,26.2943143,-81.448561,50,1467
1967,27,27.6610372,-82.1462286,38,583
1967,28,25.7510497,-80.9676799,42,602
1967,30,27.9626301,-80.9673345,45,941
1967,31,26.9657323,-80.3854635,38,597
1967,32,26.7792597,-81.9372109,50,840
1967,33,26.0628347,-80.4312659,38,1117
1967,36,25.0015697,-80.5364609,39,777
1967,38,30.0999027,-81.8070759,58,718
1968,2,30.3755433,-86.2758321,40,418
1968,3,30.5193157,-86.4809129,38,266
1968,4,30.5288404,-85.1334541,45,607
1968,5,30.3372497,-85.2869789,44,499
1968,6,30.5950194,-84.0413094,60,746
1968,7,30.3898527,-85.9004499,55,442
1968,8,30.3358457,-84.9914239,53,475
1968,9,29.7818335,-85.3003555,44,414
1968,10,30.2734632,-83.8569684,53,630
1968,11,29.6686989,-83.3782062,50,423
1968,12,30.5026237,-82.7337409,36,584
1968,13,29.5468457,-82.2630299,50,490
1968,14,29.1916199,-82.394802,48,529
1968,17,27.4438745,-82.1186659,49,701
1968,18,29.8899427,-81.3438119,57,747
1968,19,30.7202649,-81.9062085,51,603
1968,20,28.3266818,-82.3022052,46,1261
1968,21,29.8970697,-81.8343049,51,733
1968,23,28.5723877,-81.9816829,48,1516
1968,24,27.3232866,-81.4189503,43,776
1968,25,28.7481187,-80.8712309,50,513
1968,26,26.2943143,-81.448561,45,1246
1968,30,27.9626301,-80.9673345,54,1021
1968,31,26.9657323,-80.3854635,45,1050
1968,32,26.7792597,-81.9372109,47,831
1968,33,26.0628347,-80.4312659,46,1881
1968,35,25.6579667,-80.7663639,37,918
1968,36,25.0015697,-80.5364609,30,604
1968,38,30.0999027,-81.8070759,60,826
1968,39,26.3678027,-80.2032849,50,995
1969,1,30.9291812,-87.4079434,52,541
1969,2,30.3755433,-86.2758321,35,465
1969,3,30.5193157,-86.4809129,39,320
1969,4,30.5288404,-85.1334541,54,564
1969,5,30.3372497,-85.2869789,53,590
1969,6,30.5950194,-84.0413094,62,846
1969,7,30.3898527,-85.9004499,54,475
1969,8,30.3358457,-84.9914239,48,348
1969,9,29.7818335,-85.3003555,49,567
1969,10,30.2734632,-83.8569684,63,514
1969,11,29.6686989,-83.3782062,45,424
1969,12,30.5026237,-82.7337409,47,735
1969,13,29.5468457,-82.2630299,55,460
1969,14,29.1916199,-82.394802,41,504
1969,15,29.9877641,-84.9762879,46,500
1969,16,28.0363157,-82.5050049,49,987
1969,17,27.4438745,-82.1186659,39,798
1969,18,29.8899427,-81.3438119,52,612
1969,19,30.7202649,-81.9062085,44,611
1969,20,28.3266818,-82.3022052,58,1430
1969,21,29.8970697,-81.8343049,43,518
1969,23,28.5723877,-81.9816829,47,1077
1969,24,27.3232866,-81.4189503,49,782
1969,25,28.7481187,-80.8712309,58,970
1969,26,26.2943143,-81.448561,46,1061
1969,30,27.9626301,-80.9673345,49,1168
1969,31,26.9657323,-80.3854635,49,917
1969,32,26.7792597,-81.9372109,56,852
1969,33,26.0628347,-80.4312659,40,1037
1969,35,25.6579667,-80.7663639,37,771
1969,36,25.0015697,-80.5364609,39,792
1969,38,30.0999027,-81.8070759,60,716
1969,39,26.3678027,-80.2032849,36,898
1970,1,30.9291812,-87.4079434,45,432
1970,2,30.3755433,-86.2758321,39,654
1970,3,30.5193157,-86.4809129,38,296
1970,4,30.5288404,-85.1334541,54,597
1970,5,30.3372497,-85.2869789,51,456
1970,6,30.5950194,-84.0413094,65,892
1970,7,30.3898527,-85.9004499,57,636
1970,8,30.3358457,-84.9914239,48,435
1970,9,29.7818335,-85.3003555,39,358
1970,10,30.2734632,-83.8569684,58,756
1970,11,29.6686989,-83.3782062,45,481
1970,12,30.5026237,-82.7337409,49,869
1970,13,29.5468457,-82.2630299,54,575
1970,14,29.1916199,-82.394802,52,635
1970,15,29.9877641,-84.9762879,50,676
1970,16,28.0363157,-82.5050049,45,968
1970,17,27.4438745,-82.1186659,36,511
1970,18,29.8899427,-81.3438119,57,864
1970,19,30.7202649,-81.9062085,42,538
1970,20,28.3266818,-82.3022052,58,1156
1970,21,29.8970697,-81.8343049,53,544
1970,22,28.1788407,-81.8605659,58,951
1970,23,28.5723877,-81.9816829,49,1385
1970,24,27.3232866,-81.4189503,45,780
1970,25,28.7481187,-80.8712309,54,968
1970,26,26.2943143,-81.448561,38,833
1970,27,27.6610372,-82.1462286,67,1063
1970,28,25.7510497,-80.9676799,45,734
1970,30,27.9626301,-80.9673345,52,1268
1970,31,26.9657323,-80.3854635,45,1108
1970,32,26.7792597,-81.9372109,49,742
1970,33,26.0628347,-80.4312659,41,1254
1970,35,25.6579667,-80.7663639,39,799
1970,36,25.0015697,-80.5364609,40,722
1970,37,30.2531989,-82.1623546,50,499
1970,38,30.0999027,-81.8070759,53,632
1970,39,26.3678027,-80.2032849,37,1021
1971,1,30.9291812,-87.4079434,52,711
1971,2,30.3755433,-86.2758321,42,623
1971,3,30.5193157,-86.4809129,43,355
1971,4,30.5288404,-85.1334541,51,456
1971,5,30.3372497,-85.2869789,60,684
1971,6,30.5950194,-84.0413094,57,783
1971,7,30.3898527,-85.9004499,62,471
1971,8,30.3358457,-84.9914239,48,397
1971,9,29.7818335,-85.3003555,49,544
1971,10,30.2734632,-83.8569684,59,847
1971,11,29.6686989,-83.3782062,50,579
1971,12,30.5026237,-82.7337409,47,769
1971,13,29.5468457,-82.2630299,53,663
1971,14,29.1916199,-82.394802,57,633
1971,15,29.9877641,-84.9762879,50,494
1971,16,28.0363157,-82.5050049,36,594
1971,17,27.4438745,-82.1186659,50,803
1971,18,29.8899427,-81.3438119,55,669
1971,19,30.7202649,-81.9062085,42,640
1971,20,28.3266818,-82.3022052,52,1362
1971,21,29.8970697,-81.8343049,51,500
1971,22,28.1788407,-81.8605659,49,1244
1971,23,28.5723877,-81.9816829,47,1708
1971,24,27.3232866,-81.4189503,43,781
1971,25,28.7481187,-80.8712309,55,456
1971,26,26.2943143,-81.448561,35,728
1971,27,27.6610372,-82.1462286,46,824
1971,28,25.7510497,-80.9676799,43,672
1971,29,27.9009147,-81.7191149,36,636
1971,30,27.9626301,-80.9673345,49,1003
1971,31,26.9657323,-80.3854635,49,1193
1971,32,26.7792597,-81.9372109,51,728
1971,33,26.0628347,-80.4312659,44,1257
1971,35,25.6579667,-80.7663639,49,911
1971,36,25.0015697,-80.5364609,38,986
