countrynum,statenum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,LandTypeID,RouteTypeID,RouteTypeDetailId
840,02,001,ST FLORIAN,1,34.8686880,-87.6041417,14,27,0,1,1
840,02,002,HILLSBORO,0,34.6386747,-87.1912919,14,24,0,1,1
840,02,003,FLORENCE,0,34.8000000,-87.7333333,14,24,0,1,1
840,02,004,TRADE,1,34.0297881,-87.0592352,13,28,0,1,1
840,02,005,SUMMITT,0,34.2016687,-86.4934089,13,28,0,1,1
840,02,006,VALHERMOSO SPGS,1,34.5012877,-86.6855493,14,24,0,1,1
840,02,007,SWAIM,1,34.8680404,-86.2030371,14,24,0,1,1
840,02,008,PINE GROVE,1,34.0278089,-85.7110414,13,28,0,1,1
840,02,009,DAWSON,0,34.3039507,-85.9267589,13,28,0,1,1
840,02,010,MILLERVILLE,1,33.1913463,-85.9258408,11,29,0,1,1
840,02,011,DEARMANVILLE,0,33.6257237,-85.7518379,13,28,0,1,1
840,02,012,SUNNY EVE,1,33.6076572,-85.7511714,13,28,0,1,1
840,02,013,GREENSPORT,1,33.8116977,-86.1153789,13,28,0,1,1
840,02,014,SMYER LAKE,1,33.4549551,-86.6010915,13,28,0,1,1
840,02,015,MT OLIVE,1,33.6822947,-86.8721632,13,28,0,1,1
840,02,016,HOWARD,1,33.8481773,-87.5888357,13,27,0,1,1
840,02,017,MAYTOWN,1,33.5263185,-87.0044623,13,28,0,1,1
840,02,018,MARVEL,0,33.1500000,-87.0000000,4,28,0,1,1
840,02,019,LIBERTY,1,33.4765537,-88.1712189,4,27,0,1,1
840,02,020,RIDERWOOD,1,32.1307226,-88.3172665,4,27,0,1,1
840,02,021,LINDEN,1,32.2782397,-87.8359539,4,27,0,1,1
840,02,022,HARRELL,1,32.4427150,-87.2158334,4,27,0,1,1
840,02,023,GREENSBORO,1,32.7846996,-87.5153953,4,27,0,1,1
840,02,024,SPRAGUE,1,32.1312407,-86.2754989,4,27,0,1,1
840,02,025,BILLINGSLEY,1,32.6594297,-86.7017714,4,27,0,1,1
840,02,026,WALLSBORO,1,32.5890245,-86.1307777,4,27,0,1,1
840,02,027,WARRIOR STD,1,32.3116131,-85.5530853,4,27,0,1,1
840,02,028,LANETT,1,32.8854647,-85.2044589,11,29,0,1,1
840,02,029,COTTONTON,1,32.1473077,-85.0626449,4,27,0,1,1
840,02,030,NEWTON,1,31.3388298,-85.5895835,4,27,0,1,1
840,02,031,GRANGEBURG,1,31.0081277,-85.2112631,4,27,0,1,1
840,02,032,BRUNDIDGE,1,31.7165541,-85.8156189,4,27,0,1,1
840,02,033,BRANTLEY,1,31.5859083,-86.2503780,4,27,0,1,1
840,02,034,SOUTH,1,31.4439507,-86.6131969,4,27,0,1,1
840,02,035,MCLELLAN,1,30.9977072,-86.8858316,4,27,0,1,1
840,02,036,BEATRICE,1,31.7399574,-87.2090516,4,27,0,1,1
840,02,037,LATHAM,0,31.0969767,-87.8321999,4,27,0,1,1
840,02,038,CASTLEBERRY,1,31.3180673,-87.1203132,4,27,0,1,1
840,02,039,MILLRY,1,31.6326050,-88.3131441,4,27,0,1,1
