"Year","Route","statenum","richness","abundance","Active","Latitude","Longitude","RouteTypeID"
1966,2,25,41,491,1,30.3755433,-86.2758321,1
1966,3,25,40,292,1,30.5193157,-86.4809129,1
1966,4,25,51,491,1,30.5288404,-85.1334541,1
1966,6,25,52,851,1,30.5950194,-84.0413094,1
1966,10,25,56,458,1,30.2734632,-83.8569684,1
1966,11,25,43,360,1,29.6686989,-83.3782062,1
1966,12,25,45,344,1,30.5026237,-82.7337409,1
1966,13,25,57,599,0,29.5468457,-82.2630299,1
1966,14,25,52,485,1,29.1916199,-82.394802,1
1966,16,25,46,1452,0,28.0363157,-82.5050049,1
1966,17,25,54,1164,0,27.4438745,-82.1186659,1
1966,19,25,48,482,1,30.7202649,-81.9062085,1
1966,21,25,45,524,1,29.8970697,-81.8343049,1
1966,23,25,37,792,0,28.5723877,-81.9816829,1
1966,24,25,38,679,1,27.3232866,-81.4189503,1
1966,26,25,44,1214,1,26.2943143,-81.448561,1
1966,28,25,35,614,1,25.7510497,-80.9676799,1
1966,31,25,38,560,1,26.9657323,-80.3854635,1
1966,33,25,42,925,0,26.0628347,-80.4312659,1
1966,35,25,38,716,0,25.6579667,-80.7663639,1
1966,36,25,36,726,0,25.0015697,-80.5364609,1
1966,37,25,22,195,1,30.2531989,-82.1623546,1
1967,1,25,54,560,1,30.9291812,-87.4079434,1
1967,2,25,35,377,1,30.3755433,-86.2758321,1
1967,3,25,40,399,1,30.5193157,-86.4809129,1
1967,4,25,50,554,1,30.5288404,-85.1334541,1
1967,5,25,45,501,1,30.3372497,-85.2869789,1
1967,6,25,58,840,1,30.5950194,-84.0413094,1
1967,7,25,52,585,0,30.3898527,-85.9004499,1
1967,9,25,38,373,0,29.7818335,-85.3003555,1
1967,10,25,47,521,1,30.2734632,-83.8569684,1
1967,11,25,52,1066,1,29.6686989,-83.3782062,1
1967,12,25,57,592,1,30.5026237,-82.7337409,1
1967,13,25,59,565,0,29.5468457,-82.2630299,1
1967,14,25,55,494,1,29.1916199,-82.394802,1
1967,17,25,40,599,0,27.4438745,-82.1186659,1
1967,18,25,53,559,1,29.8899427,-81.3438119,1
1967,19,25,51,766,1,30.7202649,-81.9062085,1
1967,20,25,50,993,1,28.3266818,-82.3022052,1
1967,21,25,44,413,1,29.8970697,-81.8343049,1
1967,22,25,53,889,1,28.1788407,-81.8605659,1
1967,23,25,55,1576,0,28.5723877,-81.9816829,1
1967,24,25,48,784,1,27.3232866,-81.4189503,1
1967,26,25,50,1467,1,26.2943143,-81.448561,1
1967,27,25,38,583,1,27.6610372,-82.1462286,1
1967,28,25,42,602,1,25.7510497,-80.9676799,1
