Number	Scans	Proportion	Size	Visual	Raised	Visitors	Feeding	Oc	Other	Enrichment	Group	Sex	Enclosure	Vehicle	Diet	Age	Zoo	Eps
41	300	0.136666667	650	2	2	6418	1	1	2	2	2	1	0	59	3	2	1	1
47	150	0.313333333	2405	2	1	13607	1	2	2	2	1	1	0	263	1	2	2	2
28	300	0.093333333	1781	4	2	13607	1	2	2	2	2	1	0	263	1	3	2	3
26	150	0.173333333	390	5	1	0	1	2	2	1	1	2	0	0	1	3	2	4
13	148	0.087837838	390	2	1	0	1	2	2	1	1	2	0	0	1	3	2	5
25	152	0.164473684	390	3	1	0	1	2	2	1	1	2	0	0	1	2	2	6
15	301	0.049833887	1200	4	2	11713	1	2	2	2	2	2	20	215	3	8	3	7
78	299	0.260869565	1200	4	2	11713	1	2	2	2	2	2	12	215	3	2	3	8
77	300	0.256666667	1200	4	2	11713	1	2	2	2	2	1	16	215	3	2	3	9
64	300	0.213333333	70	1	1	11713	1	2	2	2	2	1	20	215	3	8	3	10
80	300	0.266666667	40	1	1	11713	1	2	2	2	2	2	12	215	3	2	3	11
28	240	0.116666667	1200	4	2	4225	1	2	2	2	2	1	16	28	3	8	3	12
2	150	0.013333333	650	5	2	96513	1	1	1	2	1	2	20	3	3	7	4	13
12	150	0.08	650	5	2	96513	1	1	1	2	1	2	20	3	3	1	4	14
2	150	0.013333333	650	5	2	7294	1	1	1	1	1	2	0	7	3	7	4	15
16	150	0.106666667	100	1	1	0	1	1	1	1	1	2	20	6	3	7	4	16
12	150	0.08	100	1	1	0	1	1	1	1	1	2	20	6	3	1	4	17
6	356	0.016853933	2030	8	2	76000	1	2	2	1	2	1	6	0	1	2	5	18
45	120	0.375	715	6	2	76000	1	2	2	1	1	2	6	0	1	2	5	19
27	270	0.1	715	6	2	14195	2	2	2	1	2	1	0	0	1	2	5	20
28	90	0.311111111	2030	8	2	14195	2	2	2	1	1	2	0	0	1	2	5	21
14	100	0.14	420	2	1	8971	1	1	2	1	1	1	0	112	3	1	6	22
9	100	0.09	434	2	2	39120	1	1	2	1	1	1	0	116	3	1	6	23
10	100	0.1	434	2	2	27589	1	1	2	1	1	1	0	157	3	1	6	24
13	497	0.026156942	434	2	2	8971	1	1	2	1	2	2	0	112	3	3	6	25
10	495	0.02020202	1700	4	1	39120	1	1	2	1	2	2	1	116	3	3	6	26
9	499	0.018036072	1700	4	1	27589	1	1	2	1	2	2	0	157	3	3	6	27
20	199	0.100502513	3800	8	2	8971	1	1	2	1	2	2	0	112	3	5	6	28
26	200	0.13	3000	8	2	39120	1	1	2	2	2	2	0	63	3	5	6	29
21	200	0.105	3000	8	2	27589	1	1	2	2	2	2	0	84	3	5	6	30
0	296	0	3000	8	2	8971	1	1	2	2	2	1	0	51	3	10	6	31
6	300	0.02	504	4	2	27589	1	1	2	1	2	1	1	157	3	10	6	32
63	299	0.210702341	1700	4	1	8971	1	1	2	1	2	1	1	112	3	10	6	33
21	100	0.21	504	4	2	8971	1	1	2	1	1	2	0	112	3	8	6	34
18	100	0.18	504	4	2	39120	1	1	2	1	1	2	0	116	3	3	6	35
13	192	0.067708333	434	2	1	22000	2	1	2	2	1	2	0	128	3	5	6	36
34	150	0.226666667	1000	2	1	627	1	2	1	2	1	1	0	83	2	7	7	37
21	150	0.14	600	2	1	627	1	2	1	2	1	2	0	83	2	4	7	38
35	150	0.233333333	578	4	1	627	1	2	1	2	1	2	0	83	2	3	7	39
16	150	0.106666667	630	4	1	627	1	2	1	2	1	2	0	83	2	8	7	40
18	150	0.12	587	2	1	627	1	2	1	2	1	2	0	83	2	7	7	41
22	150	0.146666667	203	1	1	627	1	2	1	2	1	1	0	83	2	2	7	42
27	150	0.18	1100	3	1	627	1	2	1	2	1	1	0	54	1	8	7	43
16	300	0.053333333	1400	8	1	627	1	2	1	2	2	1	1	27	1	8	7	44
4	302	0.013245033	600	5	1	0	2	2	1	1	2	1	0	22	1	11	7	45
16	147	0.108843537	1600	9	1	0	2	2	1	1	1	1	0	26	1	9	7	46
