time x y inclination elevation soil fertilisation age canopy stand humus bu reg bu2 bu3 bu4 bu5 alkali alkali1 alkali3 alkali4 standcat ph humus0 humus2 humus3 humus4 moisture1 moisture3
2 1.5 5 2 320 10 1 43 1 2 2 0 5 0 0 0 0 3 0 1 0 -1 4.61 0 1 0 0 1 0
3 1.5 5 2 320 10 1 44 1 2 4 0 5 0 0 0 0 3 0 1 0 -1 4.34 0 0 0 1 1 0
4 1.5 5 2 320 10 1 45 1 2 1 0 5 0 0 0 0 3 0 1 0 -1 4.75 -1 -1 -1 -1 1 0
5 1.5 5 2 320 10 1 46 1 2 3 0 5 0 0 0 0 3 0 1 0 -1 3.99 0 0 1 0 1 0
6 1.5 5 2 320 10 1 47 1 2 1 0 5 0 0 0 0 3 0 1 0 -1 5.3 -1 -1 -1 -1 1 0
7 1.5 5 2 320 10 1 48 1 2 0 0 5 0 0 0 0 3 0 1 0 -1 3.83 1 0 0 0 1 0
8 1.5 5 2 320 10 1 49 1 2 0 0 5 0 0 0 0 3 0 1 0 -1 4.05 1 0 0 0 1 0
9 1.5 5 2 320 10 1 50 1 2 2 0 5 0 0 0 0 3 0 1 0 -1 4.06 0 1 0 0 1 0
10 1.5 5 2 320 10 1 51 1 2 0 0 5 0 0 0 0 3 0 1 0 -1 4.3 1 0 0 0 1 0
11 1.5 5 2 320 10 1 52 1 2 0 0 5 0 0 0 0 3 0 1 0 -1 4.84 1 0 0 0 1 0
12 1.5 5 2 320 10 1 53 1 2 1 0 5 0 0 0 0 3 0 1 0 -1 4.38 -1 -1 -1 -1 1 0
13 1.5 5 2 320 10 1 54 1 2 1 0 5 0 0 0 0 3 0 1 0 -1 4.55 -1 -1 -1 -1 1 0
14 1.5 5 2 320 10 1 55 1 2 0 0 5 0 0 0 0 3 0 1 0 -1 4.72 1 0 0 0 1 0
15 1.5 5 2 320 10 1 56 1 2 0 0 5 0 0 0 0 3 0 1 0 -1 4.485 1 0 0 0 1 0
16 1.5 5 2 320 10 1 57 1 2 0 0 5 0 0 0 0 3 0 1 0 -1 4.25 1 0 0 0 1 0
17 1.5 5 2 320 10 1 58 1 2 3 0 5 0 0 0 0 3 0 1 0 -1 4.31 0 0 1 0 1 0
