site,terrain,plot_type,Y,X,n_spruce,plot_area_m2
FoxLake,SW_Facing,Regen,6795420.856,472007.2212,25,50.0144692
FoxLake,SW_Facing,Quick,6795423.85,471999.0996,0,40
FoxLake,SW_Facing,Quick,6795428.11,471990.0523,0,40
FoxLake,SW_Facing,Quick,6795429.001,472007.294,16,40
FoxLake,SW_Facing,Quick,6795432.37,471981.005,0,40
FoxLake,SW_Facing,Quick,6795436.63,471971.9577,9,40
FoxLake,SW_Facing,Quick,6795439.001,472007.3155,6,40
FoxLake,SW_Facing,Quick,6795440.89,471962.9104,24,40
FoxLake,SW_Facing,Quick,6795445.149,471953.8631,211,40
FoxLake,SW_Facing,Quick,6795449.001,472007.3371,3,40
FoxLake,SW_Facing,Quick,6795449.409,471944.8158,19,40
FoxLake,SW_Facing,Quick,6795453.669,471935.7686,2,40
FoxLake,SW_Facing,Quick,6795457.929,471926.7213,0,40
FoxLake,SW_Facing,Quick,6795459.001,472007.3586,9,40
FoxLake,SW_Facing,Quick,6795462.189,471917.674,15,40
FoxLake,SW_Facing,Quick,6795466.449,471908.6267,7,40
FoxLake,SW_Facing,Quick,6795469.001,472007.3801,12,40
FoxLake,SW_Facing,Quick,6795470.709,471899.5794,25,40
FoxLake,SW_Facing,Quick,6795474.969,471890.5321,7,40
FoxLake,SW_Facing,Quick,6795479.001,472007.4016,42,40
FoxLake,SW_Facing,Quick,6795479.229,471881.4848,58,40
FoxLake,SW_Facing,Regen,6795481.758,471874.8612,42,50.0144692
FoxLake,SW_Facing,Regen,6795486.564,471988.018,7,50.0144692
FoxLake,SW_Facing,Quick,6795489.001,472007.4232,4,40
FoxLake,SW_Facing,Quick,6795496.404,471987.6258,0,40
FoxLake,SW_Facing,Quick,6795499.001,472007.4447,0,40
FoxLake,SW_Facing,Quick,6795506.218,471985.7062,96,40
FoxLake,SW_Facing,Quick,6795516.032,471983.7865,12,40
FoxLake,SW_Facing,Quick,6795525.846,471981.8669,0,40
FoxLake,SW_Facing,Regen,6795541.223,471979.737,0,50.0144692
FoxLake,SW_Facing,Quick,6795541.3,471973.763,0,40
FoxLake,SW_Facing,Quick,6795548.406,471966.7274,0,40
FoxLake,SW_Facing,Quick,6795555.513,471959.6918,0,40
FoxLake,SW_Facing,Quick,6795562.619,471952.6562,9,40
FoxLake,SW_Facing,Quick,6795569.725,471945.6207,21,40
FoxLake,SW_Facing,Quick,6795618.747,471665.3115,28,40
FoxLake,SW_Facing,Regen,6795620.128,471666.9988,25,12.56637061
FoxLake,SW_Facing,Quick,6795622.516,471656.0492,195,40
FoxLake,SW_Facing,Quick,6795626.286,471646.7869,6,40
FoxLake,SW_Facing,Quick,6795626.99,471668.8984,39,40
FoxLake,SW_Facing,Quick,6795630.055,471637.5247,7,40
FoxLake,SW_Facing,Quick,6795633.825,471628.2624,13,40
FoxLake,SW_Facing,Quick,6795636.437,471672.179,26,40
FoxLake,SW_Facing,Regen,6795637.876,471618.7742,19,50.26548246
FoxLake,SW_Facing,Quick,6795645.883,471675.4595,50,40
FoxLake,SW_Facing,Quick,6795651.975,471919.0523,0,40
FoxLake,SW_Facing,Regen,6795652.583,471902.162,3,50.26548246
FoxLake,SW_Facing,Quick,6795652.743,471909.0818,16,40
FoxLake,SW_Facing,Quick,6795653.511,471899.1114,20,40
FoxLake,SW_Facing,Quick,6795654.28,471889.1409,11,40
FoxLake,SW_Facing,Quick,6795655.048,471879.1705,1,40
FoxLake,SW_Facing,Quick,6795655.33,471678.7401,137,40
FoxLake,SW_Facing,Quick,6795655.816,471869.2,2,40
FoxLake,SW_Facing,Quick,6795656.584,471859.2296,2,40
FoxLake,SW_Facing,Quick,6795657.352,471849.2591,2,40
FoxLake,SW_Facing,Quick,6795658.12,471839.2887,5,40
FoxLake,SW_Facing,Quick,6795658.348,471821.7836,54,40
FoxLake,SW_Facing,Regen,6795658.873,471819.9881,5,50.26548246
FoxLake,SW_Facing,Quick,6795658.889,471829.3182,2,40
FoxLake,SW_Facing,Quick,6795664.777,471682.0206,160,40
FoxLake,SW_Facing,Quick,6795664.853,471814.189,33,40
FoxLake,SW_Facing,Quick,6795671.359,471806.5945,15,40
FoxLake,SW_Facing,Quick,6795674.223,471685.3012,237,40
FoxLake,SW_Facing,Quick,6795677.864,471799,0,40
