Who,Site,Subsite,source_type,polygon,order,Y,X
Eliot,FoxLake,Lowland,SSWall,NA,NA,6796723.731,469919.3107
Eliot,FoxLake,Lowland,SSWall,NA,NA,6796742.626,469910.4723
Eliot,FoxLake,Lowland,SSWall,NA,NA,6796729.702,469974.1999
Eliot,FoxLake,Lowland,SSWall,NA,NA,6796725.89,470025.6419
Eliot,FoxLake,Lowland,SSWall,NA,NA,6796719.851,470077.7116
Eliot,FoxLake,Lowland,SSWall,NA,NA,6796725.935,470126.3351
Eliot,FoxLake,Lowland,SSWall,NA,NA,6796718.948,470174.2659
Eliot,FoxLake,Lowland,SSWall,NA,NA,6796702.393,470236.7358
Eliot,FoxLake,Lowland,SSWall,NA,NA,6796694.535,470294.0962
Eliot,FoxLake,Lowland,SSSample,NA,NA,6796742.568,470287.086
Eliot,FoxLake,Lowland,SSSample,NA,NA,6796724.452,470303.7841
Eliot,FoxLake,Lowland,SSSample,NA,NA,6796785.653,470258.4785
Eliot,FoxLake,Lowland,SSSample,NA,NA,6796888.804,470191.593
Eliot,FoxLake,Lowland,SSSample,NA,NA,6796964.678,470142.5823
Eliot,FoxLake,Lowland,SSSample,NA,NA,6797042.968,470050.4508
Eliot,FoxLake,Lowland,SSSample,NA,NA,6797046.439,470002.8427
Eliot,FoxLake,Lowland,SSSample,NA,NA,6797040.834,469950.9495
Eliot,FoxLake,Lowland,SSSample,NA,NA,6796996.21,469909.3531
Eliot,FoxLake,Lowland,SSSample,NA,NA,6796975.594,469904.4163
Eliot,FoxLake,Lowland,SSSample,NA,NA,6796888.762,469895.5375
Eliot,FoxLake,Lowland,SSSample,NA,NA,6796850.814,469871.8622
Eliot,FoxLake,Lowland,SSSample,NA,NA,6797168.951,469864.6928
Eliot,FoxLake,Lowland,SSSample,NA,NA,6797133.442,469889.7501
Eliot,FoxLake,Lowland,SSSample,NA,NA,6797067.112,470003.8641
Eliot,FoxLake,Lowland,SSSample,NA,NA,6797045.311,469933.9624
Eliot,FoxLake,SW_Facing,SSSample,NA,NA,6803025.398,465082.76
Eliot,FoxLake,SW_Facing,SSSample,NA,NA,6803076.228,465133.385
Eliot,FoxLake,Lowland,SSPolygon,38,1,6796715.73,470304.9674
Eliot,FoxLake,Lowland,SSPolygon,38,2,6796728.455,470293.1938
Eliot,FoxLake,Lowland,SSPolygon,38,3,6796753.325,470273.6796
Eliot,FoxLake,Lowland,SSPolygon,38,4,6796788.911,470252.55
Eliot,FoxLake,Lowland,SSPolygon,38,5,6796847.188,470216.8999
Eliot,FoxLake,Lowland,SSPolygon,38,6,6796887.915,470191.8324
Eliot,FoxLake,Lowland,SSPolygon,38,7,6796932.971,470156.1209
Eliot,FoxLake,Lowland,SSPolygon,38,8,6796962.203,470143.2102
Eliot,FoxLake,Lowland,SSPolygon,38,9,6796979.017,470128.2042
Eliot,FoxLake,Lowland,SSPolygon,38,10,6797017.817,470096.0466
Eliot,FoxLake,Lowland,SSPolygon,38,11,6797024.449,470083.6527
Eliot,FoxLake,Lowland,SSPolygon,38,32,6797050.904,470081.0951
Eliot,FoxLake,Lowland,SSPolygon,38,33,6796981.673,470133.1883
Eliot,FoxLake,Lowland,SSPolygon,38,34,6796839.563,470223.1343
Eliot,FoxLake,Lowland,SSPolygon,38,35,6796790.373,470257.3939
Eliot,FoxLake,Lowland,SSPolygon,38,12,6797041.589,470051.2157
Eliot,FoxLake,Lowland,SSPolygon,38,13,6797044.77,470038.4604
Eliot,FoxLake,Lowland,SSPolygon,38,14,6797049.136,470021.4898
Eliot,FoxLake,Lowland,SSPolygon,38,15,6797043.093,470009.7016
Eliot,FoxLake,Lowland,SSPolygon,38,16,6797045.841,469991.8912
Eliot,FoxLake,Lowland,SSPolygon,38,17,6797050.612,469984.3664
Eliot,FoxLake,Lowland,SSPolygon,38,18,6797061.129,469968.7692
Eliot,FoxLake,Lowland,SSPolygon,38,19,6797037.335,469950.6634
Eliot,FoxLake,Lowland,SSPolygon,38,20,6797009.75,469923.8775
Eliot,FoxLake,Lowland,SSPolygon,38,21,6797014.931,469917.5015
Eliot,FoxLake,Lowland,SSPolygon,89,1,6796994.101,469909.7297
Eliot,FoxLake,Lowland,SSPolygon,89,2,6796985.436,469906.6158
Eliot,FoxLake,Lowland,SSPolygon,89,3,6796973.54,469906.5494
Eliot,FoxLake,Lowland,SSPolygon,89,4,6796960.759,469898.896
Eliot,FoxLake,Lowland,SSPolygon,89,5,6796919.57,469895.9869
Eliot,FoxLake,Lowland,SSPolygon,89,6,6796906.707,469885.8498
Eliot,FoxLake,Lowland,SSPolygon,89,7,6796855.959,469882.6563
Eliot,FoxLake,Lowland,SSPolygon,89,8,6796848.594,469877.0291
Eliot,FoxLake,Lowland,SSPolygon,89,15,6796843.691,469842.534
Eliot,FoxLake,Lowland,SSPolygon,89,9,6796830.91,469827.1575
Eliot,FoxLake,Lowland,SSPolygon,89,14,6796853.289,469799.318
Eliot,FoxLake,Lowland,SSPolygon,89,12,6796817.835,469784.2797
Eliot,FoxLake,Lowland,SSPolygon,89,10,6796812.723,469793.5348
Eliot,FoxLake,Lowland,SSPolygon,89,13,6796821.899,469785.0872
Eliot,FoxLake,Lowland,SSPolygon,89,11,6796814.147,469781.0331
Eliot,FoxLake,Lowland,SSPolygon,159,1,6797215.359,469905.572
Eliot,FoxLake,Lowland,SSPolygon,159,2,6797206.191,469912.9905
Eliot,FoxLake,Lowland,SSPolygon,159,3,6797203.94,469943.5954
Eliot,FoxLake,Lowland,SSPolygon,159,4,6797202.858,469895.6316
Eliot,FoxLake,Lowland,SSPolygon,159,5,6797194.902,469889.1922
Eliot,FoxLake,Lowland,SSPolygon,159,6,6797204.779,469878.4889
Eliot,FoxLake,Lowland,SSPolygon,159,7,6797205.31,469870.0078
Eliot,FoxLake,Lowland,SSPolygon,159,8,6797186.831,469856.0113
Eliot,FoxLake,Lowland,SSPolygon,159,9,6797169.234,469850.342
Eliot,FoxLake,Lowland,SSPolygon,159,10,6797150.315,469847.3502
Eliot,FoxLake,Lowland,SSPolygon,159,11,6797135.268,469840.288
Eliot,FoxLake,Lowland,SSPolygon,159,12,6797125.43,469837.8281
Eliot,FoxLake,Lowland,SSPolygon,159,13,6797121.712,469844.4725
Eliot,FoxLake,Lowland,SSPolygon,159,14,6797136.985,469852.2816
Eliot,FoxLake,Lowland,SSPolygon,159,15,6797162.709,469858.8117
Eliot,FoxLake,Lowland,SSPolygon,159,16,6797178.135,469866.1774
Eliot,FoxLake,Lowland,SSPolygon,159,17,6797187.21,469872.7701
Eliot,FoxLake,Lowland,SSPolygon,159,18,6797176.944,469888.4768
Eliot,FoxLake,Lowland,SSPolygon,159,19,6797171.087,469910.6188
Eliot,FoxLake,Lowland,SSPolygon,159,20,6797182.537,469924.3886
Eliot,FoxLake,Lowland,SSPolygon,159,21,6797174.278,469956.3611
Eliot,FoxLake,Lowland,SSPolygon,159,22,6797169.264,469966.2896
Eliot,FoxLake,Lowland,SSPolygon,185,1,6797141.76,469950.5774
Eliot,FoxLake,Lowland,SSPolygon,185,2,6797134.16,469928.8803
Eliot,FoxLake,Lowland,SSPolygon,185,3,6797133.061,469886.2447
Eliot,FoxLake,Lowland,SSPolygon,185,4,6797112.249,469847.2647
Eliot,FoxLake,Lowland,SSPolygon,185,5,6797112.324,469865.5345
Eliot,FoxLake,Lowland,SSPolygon,185,6,6797121.118,469891.7095
Eliot,FoxLake,Lowland,SSPolygon,185,7,6797127.573,469922.8565
Eliot,FoxLake,Lowland,SSPolygon,185,8,6797126.939,469938.0401
Eliot,FoxLake,Lowland,SSPolygon,38,31,6797091.933,470016.4598
Eliot,FoxLake,Lowland,SSPolygon,38,30,6797079.967,470007.3238
Eliot,FoxLake,Lowland,SSPolygon,38,29,6797067.498,469997.9275
Eliot,FoxLake,Lowland,SSPolygon,38,28,6797063.273,469988.7003
Eliot,FoxLake,Lowland,SSPolygon,38,27,6797070.821,469974.1372
Eliot,FoxLake,Lowland,SSPolygon,38,26,6797063.943,469959.6072
Eliot,FoxLake,Lowland,SSPolygon,38,25,6797049.503,469942.8299
Eliot,FoxLake,Lowland,SSPolygon,38,24,6797039.73,469931.6067
Eliot,FoxLake,Lowland,SSPolygon,38,23,6797030.65,469922.4277
Eliot,FoxLake,Lowland,SSPolygon,38,22,6797020.646,469910.829
Eliot,FoxLake,Lowland,SSPolygon,233,1,6797526.926,469768.1144
Eliot,FoxLake,Lowland,SSPolygon,233,2,6797486.016,469794.4904
Eliot,FoxLake,Lowland,SSPolygon,233,3,6797400.062,469863.5996
Eliot,FoxLake,SW_Facing,SSPolygon,380,1,6803013.014,465080.2516
Eliot,FoxLake,SW_Facing,SSPolygon,380,2,6803089.116,465135.0063
Eliot,FoxLake,SW_Facing,SSPolygon,389,1,6803262.384,464081.8498
Eliot,FoxLake,SW_Facing,SSPolygon,389,2,6803618.396,464040.2266
Eliot,FoxLake,SW_Facing,SSPolygon,391,1,6803587.361,464040.0052
Eliot,FoxLake,SW_Facing,SSPolygon,391,2,6803174.081,464080.9813
Eliot,FoxLake,Lowland,SSIsland,56,NA,6796740.729,470183.8429
Eliot,FoxLake,Lowland,SSIsland,58,NA,6796737.425,470200.11
Eliot,FoxLake,Lowland,SSIsland,65,NA,6796729.556,470238.3273
Eliot,FoxLake,Lowland,SSIsland,67,NA,6796738.312,470243.0132
Eliot,FoxLake,Lowland,SSIsland,68,NA,6796734.045,470246.1296
Eliot,FoxLake,Lowland,SSIsland,97,NA,6796940.921,469902.9191
Eliot,FoxLake,Lowland,SSIsland,98,NA,6796929.918,469896.6909
Eliot,FoxLake,Lowland,SSIsland,99,NA,6796923.639,469901.6075
Eliot,FoxLake,Lowland,SSIsland,114,NA,6796836.526,469792.1375
Eliot,FoxLake,Lowland,SSIsland,156,NA,6796980.95,470060.4577
Eliot,FoxLake,Lowland,SSIsland,182,NA,6797146.336,469972.2485
Eliot,FoxLake,Lowland,SSIsland,183,NA,6797152.1,469950.1815
Eliot,FoxLake,Lowland,SSIsland,184,NA,6797146.21,469953.2912
Eliot,FoxLake,Lowland,SSIsland,212,NA,6796949.689,469802.0181
Eliot,FoxLake,Lowland,SSIsland,213,NA,6796948.007,469797.7336
Eliot,FoxLake,Lowland,SSIsland,214,NA,6796936.248,469789.6354
Eliot,FoxLake,Lowland,SSIsland,231,NA,6797483.691,469755.6377
Eliot,FoxLake,Lowland,SSIsland,232,NA,6797514.164,469726.8687
Eliot,FoxLake,Lowland,SSIndividual,60,NA,6796747.059,470205.7828
Eliot,FoxLake,Lowland,SSIndividual,61,NA,6796737.175,470215.1502
Eliot,FoxLake,Lowland,SSIndividual,62,NA,6796734.953,470215.1313
Eliot,FoxLake,Lowland,SSIndividual,63,NA,6796725.697,470212.2823
Eliot,FoxLake,Lowland,SSIndividual,64,NA,6796727.524,470235.7011
Eliot,FoxLake,Lowland,SSIndividual,66,NA,6796736.703,470238.8686
Eliot,FoxLake,Lowland,SSIndividual,96,NA,6796948.488,469901.2824
Eliot,FoxLake,Lowland,SSIndividual,203,NA,6797043.34,469928.7998
Eliot,FoxLake,Lowland,SSIndividual,204,NA,6797039.158,469928.6471
Eliot,FoxLake,Lowland,SSIndividual,208,NA,6797019.777,469904.491
